election_year,state_code,county,unique_mailin,unique_multi_mailin,eligible_voters,number_voters,valid_votes,invalid_votes,voters_wo_blockingnotice,voters_blockingnotice,voters_par25_2,blocked_voters_orig,voters_w_ballot,pop_weight,area_weight,voters_weight,blocked_weight,turnout,turnout_wo_mailin,cdu,csu,spd,gruene,fdp,linke_pds,afd,zentrum,cdu_csu,far_right,far_left,far_left_w_linke,flag_naive_turnout_above_1,flag_unsuccessful_naive_merge,total_votes,flag_total_votes_incongruent,total_votes_incogruence,perc_total_votes_incogruence,area,population,other_parties,votes_sum,votes_sum_recalc,winner
1990,01,01001,1.0,0.0,69563.0,50485.0,50036.0,449.0,64342.0,5221.0,0.0,5221.0,4910.0,1.0,1.0,1.0,1.0,0.725745008122134,0.655765277518221,0.370533216084419,0.0,0.450015988488288,0.0454472779598689,0.104005116316252,0.0041570069549924,0.0,0.0,0.370533216084419,0.0143296826285075,0.0,0.0041570069549924,0.0,,50036.0,0.0,0.0,0.0,56.36,86.6,0.0258413941961786,0.9999999999999989,0.9999999999999989,spd
1990,01,01002,1.0,0.0,192930.0,146889.0,145654.0,1235.0,173870.0,19003.0,57.0,19060.0,18296.0,1.0,1.0,1.0,1.0,0.761359042139636,0.674275644015964,0.349691735208096,0.0,0.455305037966688,0.0605132711768987,0.106011506721408,0.0062888763782663,0.0,0.0,0.349691735208096,0.0142254932923229,0.0,0.0062888763782663,0.0,,145654.0,0.0,0.0,0.0,111.73,243.6,0.0221895725486426,0.9999999999999997,0.9999999999999997,spd
1990,01,01003,1.0,0.0,172415.0,129441.0,127764.0,1677.0,155657.0,16758.0,0.0,16758.0,15743.0,1.0,1.0,1.0,1.0,0.750752544732187,0.668021923846533,0.413747221439529,0.0,0.406781252935099,0.0427350427350427,0.102603237218622,0.0047431201277355,0.0,0.0,0.413747221439529,0.0207805015497323,0.0,0.0047431201277355,0.0,,127764.0,0.0,0.0,0.0,214.15,212.9,0.029390125543971503,0.9999999999999996,0.9999999999999996,cdu
1990,01,01004,1.0,0.0,64857.0,47530.0,47017.0,513.0,60660.0,4197.0,0.0,4197.0,3878.0,1.0,1.0,1.0,1.0,0.732843023883313,0.677875942458023,0.41523278814046,0.0,0.430567667014059,0.0304145309143501,0.0991130867558543,0.0034668311461811,0.0,0.0,0.41523278814046,0.0139524001956739,0.0,0.0034668311461811,0.0,,47017.0,0.0,0.0,0.0,71.56,80.3,0.0212050960290956,1.0,1.0000000000000002,spd
1990,01,01051,0.05172413793103448,0.0,925.4913793103449,689.2931034482758,679.9137931034483,9.267241379310345,830.6810344827586,63.41379310344828,0.0,63.41379310344828,60.43103448275862,0.0,0.0,0.0,0.0,0.7809438521888431,0.7270673456032619,0.5002046266996053,0.0,0.3502322707711788,0.03190499468888932,0.09655288305274302,0.0016865099870839897,0.0,0.0,0.5002046266996053,0.01454726208336194,0.0,0.0016865099870839897,0.0,,679.3793103448276,0.5258620689655172,-0.5344827586206896,-0.002536280671773258,12.109051724137931,1.0974137931034482,0.01941871480049954,1.0,0.9999999999999999,cdu
1990,01,01053,0.045454545454545456,0.0,995.7575757575758,779.5833333333334,772.7954545454545,6.7727272727272725,897.1136363636364,70.3030303030303,0.022727272727272728,70.32575757575758,66.16666666666667,0.0,0.0,0.0,0.0,0.838768496659718,0.7844893181156283,0.4830067562801629,0.0,0.3353562763433326,0.04114449706358374,0.11055925778196131,0.003198692419881797,0.0,0.0,0.4830067562801629,0.01984069964028007,0.0,0.003198692419881797,0.007575757575757576,,772.4545454545455,0.4318181818181818,-0.3409090909090909,-0.0016186917646238152,9.124318181818182,1.1916666666666667,0.02673452011107764,1.0,0.9999999999999999,cdu
1990,01,01054,0.09022556390977443,0.0,961.4360902255639,700.3609022556391,694.8421052631579,5.473684210526316,842.9699248120301,80.88721804511279,0.022556390977443608,80.90977443609023,75.96992481203007,0.0,0.0,0.0,0.0,0.7808933904458354,0.7143055334323911,0.5013053359187135,0.0,0.3353074326068493,0.03820637371237945,0.10755415483139814,0.0012351041846968911,0.0,0.0,0.5013053359187135,0.008639036172730907,0.0,0.0012351041846968911,0.0,,694.5338345864661,0.48120300751879697,-0.3082706766917293,-0.0023266844935034194,15.404210526315792,1.1375939849624062,0.016391598745962653,1.0,1.0,cdu
1990,01,01055,0.5555555555555556,0.0,4284.083333333333,3349.777777777778,3316.3888888888887,33.333333333333336,3860.972222222222,370.8611111111111,0.2222222222222222,371.0833333333333,350.4166666666667,0.0,0.0,0.0,0.0,0.8045344377837619,0.7256020276541579,0.4651581277344371,0.0,0.39280692024309743,0.030482641855745327,0.089073913453727,0.0019874718278073836,0.0,0.0,0.4651581277344371,0.013432831096008761,0.0,0.0019874718278073836,0.0,,3316.222222222222,0.3611111111111111,-0.16666666666666666,-0.00042413515213160827,38.649166666666666,5.188888888888889,0.02049092488518571,1.0,0.9999999999999999,cdu
1990,01,01056,0.24489795918367346,0.0,4378.408163265306,3529.081632653061,3503.387755102041,25.571428571428573,3971.285714285714,354.0408163265306,0.12244897959183673,354.16326530612247,332.734693877551,0.0,0.0,0.0,0.0,0.8429563472509729,0.779222306855057,0.4810721836656175,0.0,0.3400564071438848,0.039015502046062675,0.11651193663227032,0.0035726152164751,0.0,0.0,0.4810721836656175,0.012709060370456078,0.0,0.0035726152164751,0.0,,3502.9795918367345,0.4489795918367347,-0.40816326530612246,-0.0010631974435474326,13.513469387755102,5.428571428571429,0.019771355295689495,0.9999999999999999,0.9999999999999999,cdu
1990,01,01057,0.11764705882352941,0.0,1146.3411764705882,923.9882352941177,915.4,8.411764705882353,1037.3176470588235,82.2,0.0,82.2,76.61176470588235,0.0,0.0,0.0,0.0,0.8415779812900157,0.7809111438463628,0.4539375382003434,0.0,0.38977734470592035,0.0435056651314677,0.09171963401107092,0.0033191393739340483,0.0,0.0,0.4539375382003434,0.011913049420333626,0.0,0.0033191393739340483,0.0,,914.9529411764706,0.4588235294117647,-0.4470588235294118,-0.00154456550775914,12.733764705882352,1.3894117647058823,0.017740678577263577,1.0,1.0,cdu
